1	[9.19962709474179, 2.7401625628378685]
2	[9.223253464840772, 3.6081585309881685]
3	[7.423541676538881, 1.969525496456624]
4	[8.352085241743087, 3.558252215433037]
5	[10.543614331199343, 5.754866356651512]
6	[12.82674989979128, 8.318726015781078]
7	[13.392786909634138, 8.907844270640432]
8	[13.47940738948273, 9.505214271421325]
9	[7.277832313840912, 2.727067395761666]
10	[6.941860182015611, 2.7981223857776567]
11	[9.369908116647162, 5.193591366445005]
12	[8.895047841008214, 3.3000124612270603]
